[grapheme]aback	[celex]@-'b{k	[nettalk]xb@k-
[grapheme]abacus	[celex]'{-b@-k@s	[nettalk]@bxkxs
[grapheme]abaft	[celex]@-'b#ft	[nettalk]xb@ft
[grapheme]abandon	[celex]@-'b{n-d@n	[nettalk]xb@ndxn
[grapheme]abase	[celex]@-'b1s	[nettalk]xbes-
[grapheme]abash	[celex]@-'b{S	[nettalk]xb@S-
[grapheme]abate	[celex]@-'b1t	[nettalk]xbet-
[grapheme]abattoir	[celex]'{-b@-tw#R	[nettalk]@bxt-+-r
[grapheme]abbe	[celex]'{-b1	[nettalk]@b-e
[grapheme]abbess	[celex]'{-bEs	[nettalk]@b-xs-
[grapheme]abbey	[celex]'{-bI	[nettalk]@b-i-
[grapheme]abbot	[celex]'{-b@t	[nettalk]@b-xt
[grapheme]abbreviate	[celex]@-'bri-vI-1t	[nettalk]xb-riviet-
[grapheme]abbreviation	"[celex]@-""bri-vI-'1-SH"	[nettalk]xb-rivieS-xn
[grapheme]abdicate	[celex]'{b-dI-k1t	[nettalk]@bdIket-
[grapheme]abdication	"[celex]""{b-dI-'k1-SH"	[nettalk]@bdIkeS-xn
[grapheme]abdomen	[celex]'{b-d@-mEn	[nettalk]@bdxmxn
[grapheme]abdominal	[celex]{b-'dQ-mI-nP	[nettalk]@bdamxn-L
[grapheme]abduct	[celex]@b-'dVkt	[nettalk]@bd^kt
[grapheme]abeam	[celex]@-'bim	[nettalk]xbi-m
[grapheme]abed	[celex]@-'bEd	[nettalk]xbEd
[grapheme]aberrant	[celex]{-'bE-r@nt	[nettalk]@bEr-xnt
[grapheme]aberration	"[celex]""{-b@-'r1-SH"	[nettalk]@bxr-eS-xn
[grapheme]abet	[celex]@-'bEt	[nettalk]xbEt
[grapheme]abeyance	[celex]@-'b1-@ns	[nettalk]xbe-xns-
[grapheme]abhor	[celex]@b-'h$R	[nettalk]@bhcr
[grapheme]abide	[celex]@-'b2d	[nettalk]xbAd-
[grapheme]ability	[celex]@-'bI-l@-tI	[nettalk]xbIlxti
[grapheme]abject	[celex]'{b-_Ekt	[nettalk]@bJEkt
[grapheme]abjection	[celex]{b-'_Ek-SH	[nettalk]@bJEkS-xn
[grapheme]abjectly	[celex]'{b-_Ekt-lI	[nettalk]@bJEktli
[grapheme]abjuration	"[celex]""{b-_9-'r1-SH"	[nettalk]@bJxreS-xn
