a b a c k	@ ' b { k	x0 b @1 k
a b a c u s	' { b @ k @ s	@1 b x0 k x0 s
a b a f t	@ ' b # f t	x0 b @1 f t
a b a s e	@ ' b 1 s	x0 b e1 s
a b a s h	@ ' b { S	x0 b @1 S
a b a t e	@ ' b 1 t	x0 b e1 t
a b a t t o i r	' { b @ t w # R	@1 b x0 t +2 r
a b b e	' { b 1	@0 b e1
a b b e s s	' { b E s	@1 b x0 s
a b b e y	' { b I	@1 b i0
a b b o t	' { b @ t	@1 b x0 t
a b b r e v i a t e	@ ' b r i v I 1 t	x0 b r i1 v i0 e2 t
a b b r e v i a t i o n	"@ "" b r i v I ' 1 S H"	x0 b r i2 v i0 e1 S x n
a b d i c a t e	' { b d I k 1 t	@1 b d I0 k e2 t
a b d o m e n	' { b d @ m E n	@1 b d x0 m x0 n
a b d o m i n a l	{ b ' d Q m I n P	@0 b d a1 m x0 n L
a b d u c t	@ b ' d V k t	@0 b d ^1 k t
a b e a m	@ ' b i m	x0 b i1 m
a b e d	@ ' b E d	x0 b E1 d
a b e r r a n t	{ ' b E r @ n t	@0 b E1 r x0 n t
a b e r r a t i o n	""" { b @ ' r 1 S H"	@2 b x0 r e1 S x n
a b e t	@ ' b E t	x0 b E1 t
a b e y a n c e	@ ' b 1 @ n s	x0 b e1 x n s
a b h o r	@ b ' h $ R	@0 b h c1 r
a b i d e	@ ' b 2 d	x0 b A1 d
a b i l i t y	@ ' b I l @ t I	x0 b I1 l x0 t i0
a b j e c t i o n	{ b ' _ E k S H	@0 b J E1 k S x n
a b j e c t l y	' { b _ E k t l I	@1 b J E0 k t l i0
a b l a t i v e	' { b l @ t I v	@1 b l x0 t x0 v
a b l a z e	@ ' b l 1 z	x0 b l e1 z
a b l e	' 1 b P	e1 b L
a b l u t i o n	@ ' b l u S H	@0 b l u1 S x n
a b n e g a t e	' { b n I g 1 t	@1 b n I0 g e2 t
a b n o r m a l	{ b ' n $ m P	@0 b n c1 r m L
a b n o r m a l i t y	""" { b n $ ' m { l @ t I"	@2 b n c0 r m @1 l x0 t i0
a b o a r d	@ ' b $ d	x0 b o1 r d
a b o d e	@ ' b 5 d	x0 b o1 d
a b o l i t i o n	""" { b 5 ' l I S H"	@2 b x0 l I1 S x n
